acao,id,nome,ref,detalhe
orcid_removido_llm,800,Pedro Cardoso Smith,0000-0002-9667-6851,fundo marinho (Pedro Menandro)
orcid_removido_llm,835,Andrés Téllez,0000-0003-3721-5630,eletrônica IPN México (Calvillo-Téllez)
orcid_removido_llm,1955,Vitor Lessa Maciel,0000-0002-3288-9604,eng. ambiental RJ (Vitor Rodrigues)
orcid_removido_llm,2779,Patricia Carneiro de Menezes,0000-0001-7993-1921,história da arte renascentista Unicamp (Dalcanale Meneses)
orcid_removido_llm,3756,João Marcos Pires,0000-0003-4121-4251,design IFB (Michel Camargo)
orcid_removido_llm,237,Marcieli Coradin,0000-0001-6100-2016,nome totalmente diverso (Dienifer Vieira)
orcid_removido_llm,693,Luisa Gertrudis Durán Rocca,0000-0002-5115-8532,sobrenomes distintos (Rocca-Vite ≠ Durán Rocca)
orcid_removido_llm,3750,Nicolás Sica Palermo,0000-0003-0680-7684,pessoa diversa (Guilherme Feijó)
orcid_removido_revisao_humana,811,Ricardo da Costa Lima,0009-0006-2234-0040,perfil vazio sem nome — inverificável (decisão do usuário)
orcid_removido_revisao_humana,2042,Marianna Gomes Pimentel Cardoso,0000-0002-7225-4793,"perfil vazio, nome divergente (Marianna Merlo)"
orcid_removido_revisao_humana,2638,Vitoria Alves dos Santos,0000-0003-1992-3780,"perfil vazio, nome divergente (Vitória Maytana)"
orcid_removido_llm_lote2,25,Jéssica Lopes Gualter de Castro Santos,0000-0003-1534-8192,"perfil fisioterapia/bioética, incompatível com arquitetura"
orcid_removido_llm_lote2,57,Marcos Venicius Pinto de Lima,0000-0002-0332-2721,"enfermeiro no Acre, sobrenome divergente (Malveira)"
orcid_removido_llm_lote2,78,Andréa Soler Machado,0000-0003-0243-7946,"perfil zootecnia/aves, nome cauda divergente (Leal Ribeiro)"
orcid_removido_llm_lote2,89,Thalita Lins do Nascimento,0000-0001-8410-5501,"eng. civil homônima, nomes do meio divergem, geografia dispersa"
orcid_removido_llm_lote2,144,Glenda Souza,0009-0003-7005-9948,"única obra é cartografia escolar, nome comum"
orcid_removido_llm_lote2,158,Vitória Isabelle de Sousa Oliveira,0009-0007-9152-6620,"nomes divergem (Lourdes vs Isabelle Oliveira), obra alheia"
orcid_removido_llm_lote2,194,Ana Lúcia da Silva Abrahim,0000-0002-9936-1548,"perfil ensino de história sem Abrahim, nome comum"
orcid_removido_llm_lote2,201,Mariana Santos de Oliveira,0000-0002-9443-0137,"perfil bioquímica/reumatologia, nome reordenado comum"
orcid_removido_llm_lote2,210,Mayara Dayanne Sousa Rezende,0000-0001-9509-4713,"perfil saúde PUC-Minas, par já suspeito no dedup"
orcid_removido_llm_lote2,217,Ohana P Silva,0009-0002-8837-1983,"técnica de enfermagem em Sergipe, incompatível"
orcid_removido_llm_lote2,254,Thaís Silveira Soares,0009-0004-4770-3296,"sobrenome divergente (Bezerra), obra em música"
orcid_removido_llm_lote2,296,Alexandre Martins de Lima,0000-0002-6598-5934,"geólogo do Porto, mineração de lítio"
orcid_removido_llm_lote2,297,Dayse Guedes dos Santos,0000-0003-0795-0239,"perfil letras/linguagem, nome do meio diverge"
orcid_removido_llm_lote2,305,Vanessa Milani,0000-0002-4147-7476,"perfil letras/contracultura UNESP, sem vínculo com UFMT"
orcid_removido_llm_lote2,339,Wallyson Costa,0000-0002-7340-2153,"químico FIOCRUZ-RO, incompatível"
orcid_removido_llm_lote2,343,Marina Goldfarb de Oliveira,0000-0001-6133-2197,"perfil letras/aquisição de linguagem, nome comum"
orcid_removido_llm_lote2,346,Ana Flávia da Silveira Macau,0009-0008-6641-7382,given names divergem (Maria Marreiros vs Flávia Silveira)
orcid_removido_llm_lote2,357,Elaine Ferreira Chagas,0000-0002-4969-2197,"professora de matemática, sobrenome divergente"
orcid_removido_llm_lote2,362,Marina Zimmermann,0000-0002-2666-5997,pesquisadora de IA médica EPFL/Hamburgo
orcid_removido_llm_lote2,370,Ana Clara Reis,0000-0002-2141-8997,"Ana CARLA vs Ana CLARA, pessoa diversa UnB"
orcid_removido_llm_lote2,380,Mateus Paulo Beck,0009-0007-0891-1019,"psicologia/Vigotski, nome do meio diverge (Thaler)"
orcid_removido_llm_lote2,395,Marcos Miethicki da Silva,0000-0003-1708-7782,"perfil filosofia, só 'Marcos Silva' genérico"
orcid_removido_llm_lote2,400,Julio Gaeta,0000-0002-7567-9156,administração pública México; autor é arquiteto uruguaio
orcid_removido_llm_lote2,428,Lucia Mascaró,0000-0001-6908-1097,Lucia H. Mascaro química UFSCar; autora é arquiteta
orcid_removido_llm_lote2,453,Ana Paula Koury,0000-0001-9511-5561,médica no Pará; autora é historiadora USJT
orcid_removido_llm_lote2,471,Fernanda Fernandes,0000-0001-5416-5765,psicóloga clínica; autora é professora FAU-USP
orcid_removido_llm_lote2,478,Juliana Silva de Mattos,0000-0001-9162-0798,"perfil fisioterapia/enfermagem, incompatível"
orcid_removido_llm_lote2,480,Márcia Heck,0009-0005-7355-4674,"pedagoga UFSM, incompatível com PROPAR"
orcid_removido_llm_lote2,499,Carla Caires,0000-0002-5365-2227,"marketing/consumo, incompatível"
orcid_removido_llm_lote2,516,Maria Ana Ferré,0000-0002-1489-9438,"cardiologista espanhola, incompatível"
orcid_removido_llm_lote2,520,Pamela Dominguez,0009-0007-7797-5737,"medicina King's College, incompatível"
orcid_removido_llm_lote2,526,Camila Schmidt,0000-0003-3261-2311,"biomédica, incompatível"
orcid_removido_llm_lote2,528,Ana Cristina Castagna,0000-0003-0973-9744,"Ana CARINA vs Ana CRISTINA, marketing"
orcid_removido_llm_lote2,533,Ricardo Dias Silva,0000-0002-5856-9318,enfermeiro; autor é professor UEM
orcid_removido_llm_lote2,539,Fernanda Royer Voigt,0009-0003-7733-5976,"sobrenome divergente (Hergert), biologia"
orcid_removido_llm_lote2,551,Mariana Comerlato Jardim,0000-0002-2542-1659,"perfil direito securitário, incompatível"
orcid_removido_llm_lote2,554,Paula Bem Olivo,0000-0003-2147-9332,"sobrenome divergente (Martins), laticínios"
orcid_removido_llm_lote2,563,Thaís Luft da Silva,0000-0002-7539-4433,"sobrenome divergente (Cristina), literatura"
orcid_removido_llm_lote2,592,Karina Mendes,0000-0002-5965-2770,"nutricionista/endocrinologia UCS, nome comum"
orcid_removido_llm_lote2,603,Juliana Lopes de Souza,0000-0002-7514-0361,"genética vegetal EMBRAPA, incompatível"
orcid_removido_llm_lote2,635,Carlos Eduardo Binatto de Castro,0000-0002-3944-1642,"antropologia visual, nome sem Binatto"
orcid_removido_llm_lote2,653,Priscila Vargas,0009-0004-1912-7770,"obras nutrição, nome comum"
orcid_removido_llm_lote2,655,Gustavo de Pires Castro,0000-0002-9781-5825,única obra medicina obstétrica
orcid_removido_llm_lote2,708,Ana Rosa de Oliveira,0000-0003-4156-7372,"ciências sociais Alfenas, nome com Garcia divergente"
orcid_removido_llm_lote2,724,Marcos de Oliveira Costa,0000-0001-9836-9444,"biologia celular, nome totalmente reordenado"
orcid_removido_llm_lote2,767,Luiz Guilherme Martinelli,0000-0002-3198-7114,"médico ecocardiografista, nome do meio diverge"
orcid_removido_llm_lote2,786,Luiz Benedito Castro Telles,0009-0003-0648-2952,"radiologia odontológica, given names divergem"
orcid_removido_llm_lote2,814,Camilla Pilosio Botelho,0000-0002-0850-2481,"engenharia florestal INPA, nome sem Pilosio"
orcid_removido_llm_lote2,828,Ana Ozaki,0000-0002-3889-6207,Ana Ozaki de Oslo é da computação; autora é outra
orcid_removido_llm_lote2,829,Ana Paula Arato Gonçalves,0000-0002-9411-3465,"neurologia/medicina HC-UFMG, incompatível"
orcid_removido_llm_lote2,830,Carmen Silvia Saraiva,0000-0001-7529-9148,"auditora fiscal RFB, nome médio divergente"
orcid_removido_llm_lote2,842,Eneida de Almeida,0000-0001-9773-5289,"direito trabalhista, não a professora de arquitetura USJT"
orcid_removido_llm_lote2,875,Mariana Chaves Monti Souza,0000-0002-6808-8745,"nomes divergentes (Rezende≠Chaves Monti), geografia escolar"
orcid_removido_llm_lote2,876,Claudia Nucci Barone,0000-0003-4584-7232,"biologia Max Planck, incompatível"
orcid_removido_llm_lote2,951,Flávia Cavicchioli Monteiro,0000-0002-7024-660X,"letras/literatura inglesa, nome divergente"
orcid_removido_llm_lote2,959,João Pedro Barbosa,0009-0007-6033-7157,"nome diverso (Maya Fialho Ferraz), engenharia elétrica"
orcid_removido_llm_lote2,966,Marcelo Suzuki,0000-0003-4226-6280,"homônimo ortodontista, não o arquiteto famoso"
orcid_removido_llm_lote2,971,Diego Petrini Pinheiro,0000-0001-7626-6321,"filósofo/lógica, nome divergente"
orcid_removido_llm_lote2,980,Aline Nami dos Santos,0000-0003-3730-5388,"nome divergente (Paixão), área diversa"
orcid_removido_llm_lote2,985,Vitor Lima,0000-0001-6750-1641,"marketing/business schools, incompatível"
orcid_removido_llm_lote2,1029,Daniela Moro,0000-0002-3845-3406,"literatura japonesa Turim, homônima"
orcid_removido_llm_lote2,1039,Maria Giulia Lourenço Francischinelli,0009-0000-7904-4142,Maria Fernanda ≠ Maria Giulia
orcid_removido_llm_lote2,1048,Fábio Azevedo Vasconcellos,0000-0003-1823-7789,"comunicação política PUC-Rio, incompatível"
orcid_removido_llm_lote2,1049,Maria Júlia Cotta,0009-0004-8873-1752,"medicina, incompatível"
orcid_removido_llm_lote2,1065,Fabrício Ribeiro dos Santos Godoi,0000-0003-2196-8339,"engenharia de computação, nome divergente"
orcid_removido_llm_lote2,1070,Giulia Gobbi Fernandes Schiavini,0009-0002-1537-5406,"medicina/hematologia, incompatível"
orcid_removido_llm_lote2,1093,Ana Paula de Oliveira Bringuente,0000-0003-0102-5296,Ana Carla ≠ Ana Paula
orcid_removido_llm_lote2,1096,Rômulo Marques,0000-0003-1712-3579,"neurocirurgião Goiânia, incompatível"
orcid_removido_llm_lote2,1108,José Oswaldo Soares de Oliveira,0009-0001-9782-0915,José Lucas ≠ José Oswaldo
orcid_removido_llm_lote2,1121,Francisco José Santoro,0000-0002-9964-461X,"energia Valência, incompatível"
orcid_removido_llm_lote2,1136,Ana Lucia Vieira dos Santos,0000-0002-1546-011X,"biogeografia/manguezais, nome divergente"
orcid_removido_llm_lote2,1153,Roberto Bianchi Jr.,0000-0002-7822-9628,"história/quadrinhos Florença, homônimo"
orcid_removido_llm_lote2,1181,Lucia Noemia Simoni,0000-0001-9206-6012,"genética populacional Bolonha, incompatível"
orcid_removido_llm_lote2,1187,Raquel Dias Vieira Braga,0000-0001-7864-0540,"direito, nome divergente (Xavier≠Dias)"
orcid_removido_llm_lote2,1200,Cláudia Gomes de Araújo,0000-0002-0712-9101,"educação MS, nome divergente"
orcid_removido_llm_lote2,1211,Anna Rachel Baracho Eduardo,0000-0003-2861-4402,"farmácia/saúde, nome divergente (Maly)"
orcid_removido_llm_lote2,1221,Izabel Fraga do Amaral,0000-0002-9106-6341,"graduanda farmácia, não a professora UdeM"
orcid_removido_llm_lote2,1223,Mônica Junqueira de Camargo,0000-0002-2625-5074,"agrônoma (Sartori), não a Junqueira FAU-USP"
orcid_removido_llm_lote2,1232,Geraldo Gomes da Silva,0000-0002-4182-4511,"comunicação/semiótica, não o historiador pernambucano"
orcid_removido_llm_lote2,1248,Claudia Loureiro,0000-0002-0471-5711,"direito internacional UFU, homônima da professora UFPE"
orcid_removido_llm_lote2,1253,Helga Santos da Silva,0000-0003-3191-6292,"medicina/anestesia, nome divergente"
orcid_removido_llm_lote2,1284,Maria Amélia de Mello Galvão,0000-0003-3971-5743,"ciência da informação/saúde, incompatível"
orcid_removido_llm_lote2,1291,Silvio Leal Júnior,0009-0006-4517-1980,"estudante atual, linha do tempo incompatível com 2003"
orcid_removido_llm_lote2,1298,Luciano Lacerda Medina,0000-0002-5507-8134,"física NYU, incompatível"
orcid_removido_llm_lote2,1301,Cristina Ribeiro,0000-0003-1082-9835,"mercado financeiro, incompatível"
orcid_removido_llm_lote2,1303,Beatriz Naomi Onishi,0009-0001-9033-0411,"zootecnia, incompatível"
orcid_removido_llm_lote2,1304,Leonardo de Almeida,0000-0002-0958-4888,"antropologia da religião, incompatível"
orcid_removido_llm_lote2,1346,Lúcio Gomes Machado,0000-0003-4434-2830,"contabilidade UFG, não o professor FAU-USP"
orcid_removido_llm_lote2,1349,Lia Tavares,0009-0002-4058-7873,"estagiária atual, linha do tempo incompatível com 2005"
orcid_removido_llm_lote2,1360,Marcelle da Silva Araújo,0000-0001-5968-8135,nome divergente (Calheiros Barros)
orcid_removido_llm_lote2,1367,Roberto Souza Guedes,0000-0002-6464-1566,"patologia veterinária, incompatível"
orcid_removido_llm_lote2,1387,Valéria de Souza Ferraz,0009-0005-4027-473X,"bibliotecária, nome divergente"
orcid_removido_llm_lote2,1408,Mauricio Lima Conde,0000-0001-5958-4563,"educação/IA Bolívia, incompatível"
orcid_removido_llm_lote2,1410,Lilian Freitas Vieira,0009-0002-6031-9358,"estudante atual, linha do tempo incompatível com 2007"
orcid_removido_llm_lote2,1419,Guilherme Pereira da Silva,0000-0001-6198-1568,"educação/gênero, incompatível"
orcid_removido_llm_lote2,1453,Adriana Alvarez,0000-0001-6761-9025,"enfermagem, incompatível"
orcid_removido_llm_lote2,1457,Agnaldo Farias,0000-0003-1611-1824,"matemática IFNMG, não o crítico de arte"
orcid_removido_llm_lote2,1467,Esther Mariano Arruda,0000-0002-8674-315X,"enfermagem Fortaleza, nome divergente"
orcid_removido_llm_lote2,1502,Raquel E. de Oliveira Ferreira,0000-0003-4733-6647,"saúde pública, nome divergente"
orcid_removido_llm_lote2,1508,Cíntia Bartz Machado,0000-0002-3871-934X,"nome divergente, saúde"
orcid_removido_llm_lote2,1521,Sonia Maria Milani Gouveia,0000-0001-8475-9580,"hospital Portugal, nome divergente"
orcid_removido_llm_lote2,1526,Jéssica Pinto de Souza,0000-0002-0559-8705,"etnomatemática, nome divergente"
orcid_removido_llm_lote2,1529,Ana Paula da Conceição Esteves,0000-0002-2862-3440,"pedagogia, nome divergente (Silva≠Conceição)"
orcid_removido_llm_lote2,1565,Cinthia Lobato Serrano,0009-0008-2639-5246,"medicina, nome divergente"
orcid_removido_llm_lote2,1571,Lívia Maria Macêdo Santos,0000-0003-3696-762X,"antropologia da religião, nome divergente"
orcid_removido_llm_lote2,1613,João Pedro Fonseca,0000-0002-5663-2758,"engenharia de polímeros, nome divergente (Ferro)"
orcid_removido_llm_lote2,1646,Roberta Sartori,0000-0002-7847-7269,"dermatologia veterinária, sem vínculo com arquitetura"
orcid_removido_llm_lote2,1650,Rodrigo Fabrício Kerber,0000-0002-2918-7847,"engenharia de materiais, nome do meio diverge"
orcid_removido_llm_lote2,1698,Renata de Souza Nogueira,0000-0001-9539-6762,"nutricionista, campo totalmente distante"
orcid_removido_llm_lote2,1701,Lucas Queiroz da Silva,0000-0003-1024-0713,"nome do meio diverge, educação quilombola"
orcid_removido_llm_lote2,1711,Ana Maria Gadelha Albano Amora,0009-0007-1064-364X,"geógrafa UECE, nomes muito diferentes"
orcid_removido_llm_lote2,1784,Leonardo Izoton Braga,0000-0001-6332-5345,"antropólogo USP, nome do meio diverge"
orcid_removido_llm_lote2,1803,Jorge Schneider,0000-0002-9926-4297,"educação/matemática ES, campo distante"
orcid_removido_llm_lote2,1847,Mary Méndez,0009-0004-7085-7840,"universidade peruana, autora é uruguaia, homônima"
orcid_removido_llm_lote2,1863,Raquel Machado Marques Gabriel,0000-0002-4200-2333,"reabilitação pulmonar, homônima"
orcid_removido_llm_lote2,1873,Germana Costa Rocha,0000-0001-6794-8953,"enfermeira portuguesa, nome diverge (Graça)"
orcid_removido_llm_lote2,1883,Alvaro Augusto de Carvalho Costa,0009-0006-9998-3167,"cirurgia em Cleveland, nome diverge"
orcid_removido_llm_lote2,1895,Fabrizio Rosati,0000-0002-1475-3156,cirurgia cardíaca na Itália
orcid_removido_llm_lote2,1902,Silvia Karla de Oliveira Saraiva,0009-0005-4115-4959,"fisioterapia em Ottawa, campo distante"
orcid_removido_llm_lote2,1905,Larissa Ribeiro Cunha,0009-0007-5113-3873,"nome do meio diverge, saúde"
orcid_removido_llm_lote2,1936,Mariana Oliveira Braga de Morais,0000-0003-2254-9419,nome do meio diverge (Peres vs Oliveira Braga)
orcid_removido_llm_lote2,1939,Eliana de Azevedo Marques,0009-0002-6024-9986,consultório médico em Portugal
orcid_removido_llm_lote2,1949,Nathália Bichinho C. Corrêa Oliveira,0000-0002-7420-4634,"enfermagem/epidemiologia, campo distante"
orcid_removido_llm_lote2,1972,Karine de Vargas Soares,0000-0002-4182-7528,"nomes do meio divergem, filosofia/educação"
orcid_removido_llm_lote2,1997,Neila Dourado Gonçalves Maciel,0009-0003-3718-1001,investigação agrária em Moçambique
orcid_removido_llm_lote2,2008,Tatiana Caniçali Casado,0000-0003-2414-3877,"trabajo social nas Baleares, nome diverge"
orcid_removido_llm_lote2,2030,Aníbal Verri Junior,0000-0003-1855-2324,geógrafo ES; arquiteto de Maringá é outro
orcid_removido_llm_lote2,2040,Pedro Sunyé Barbosa da Silva,0000-0001-8772-245X,recensões de história religiosa em Portugal
orcid_removido_llm_lote2,2081,Fernanda Araujo Curi,0000-0001-5375-359X,"odontologia, nome do meio diverge"
orcid_removido_llm_lote2,2150,Cristina Leal,0000-0003-4025-3320,"literatura hispânica, campo distante"
orcid_removido_llm_lote2,2155,Magali Nocchi Collares Gonçalves,0000-0003-1227-671X,"nomes muito diferentes, atendente de creche"
orcid_removido_llm_lote2,2160,Fabiane Biedrzycka da Silva Galarz,0009-0001-6047-2224,"nome diverge, ensino de matemática"
orcid_removido_llm_lote2,2171,Lizandra Machado Moreira,0000-0002-5418-7443,"ensino de matemática, nome diverge"
orcid_removido_llm_lote2,2184,Maurício Guimarães Goulart,0000-0003-0640-8800,"administração/psicologia RS, nome reordenado"
orcid_removido_llm_lote2,2233,Clara Demettino Castro Vasconcelos,0000-0001-7282-7814,"letras/literatura, nome do meio diverge"
orcid_removido_llm_lote2,2239,Reginaldo Passos Pina Neto,0000-0001-6480-8357,"nome diverge (Nascimento), IFMA"
orcid_removido_llm_lote2,2247,Vitor Berge Sato,0000-0002-8939-096X,"radiologia musculoesquelética, campo distante"
orcid_removido_llm_lote2,2253,Felipe Oliveira Lopes,0000-0002-3970-190X,"lógica/ciência de dados, campo distante"
orcid_removido_llm_lote2,2267,Isabella da S. Bernardes,0000-0003-4699-4699,"software/administração, campo distante"
orcid_removido_llm_lote2,2299,Vanessa Silva,0000-0003-0811-9842,"geografia UFSM, homônima comum"
orcid_removido_llm_lote2,2303,Amanda Rosa de Carvalho,0000-0003-0701-8863,"nome do meio diverge, licitações públicas"
orcid_removido_llm_lote2,2306,Lídia P. Silva,0000-0002-1722-1753,"Libras/linguística, apesar da UFPR"
orcid_removido_llm_lote2,2340,Jônatas Sousa da Costa,0000-0002-1550-2009,"ensino de química/física, campo distante"
orcid_removido_llm_lote2,2349,Maria Inés Travieso Rios,0000-0003-0514-2334,fonoaudióloga na Colômbia
orcid_removido_llm_lote2,2356,Thiago Augusto Tavares,0000-0001-5997-5089,"advogado em Sergipe, nome do meio diverge"
orcid_removido_llm_lote2,2363,Ana Klaudia de Almeida Viana Perdigão,0009-0006-6656-7706,estudante FAMETRO; autora é professora UFPA
orcid_removido_llm_lote2,2369,Jéssica Tavares,0000-0002-3197-9720,médica em Portugal
orcid_removido_llm_lote2,2371,Fernanda Freitas Costa de Torres,0000-0001-6982-855X,"nome diverge, saúde no Tocantins"
orcid_removido_llm_lote2,2375,Lucas N. Guimarães,0000-0003-1469-5395,"biologia em Goiás, campo distante"
orcid_removido_llm_lote2,2390,Verônica Freitas,0000-0002-1560-614X,"administração UFU, homônima"
orcid_removido_llm_lote2,2424,Paulo Neves Siqueira,0000-0002-7498-0721,"matemático UFPR, nome do meio diverge"
orcid_removido_llm_lote2,2437,Bruna Lopes,0000-0002-5892-5503,"história do autismo, campo distante"
orcid_removido_llm_lote2,2440,Kellen Emanuele Alves Miranda,0000-0003-2314-6072,epidemiologia de Chagas
orcid_removido_llm_lote2,2506,Brenda Lais de Castro,0000-0001-8081-0406,"nome do meio diverge, sociologia/RI"
orcid_removido_llm_lote2,2519,Javiera Garrido,0000-0002-0667-7958,"genômica do câncer, homônima chilena"
orcid_removido_llm_lote2,2544,Murielly Jenniffer Dantas Oliveira,0000-0002-9286-6893,"enfermeira oncológica GO, sobrenomes intermediários divergem"
orcid_removido_llm_lote2,2545,Ana Caroline Antonino Alves,0000-0001-5310-5138,"bibliotecária UFG, sobrenomes divergem (Antonino Alves vs Alves Costa)"
orcid_removido_llm_lote2,2546,Ayana Dantas de Medeiros,0000-0002-8050-7009,"professora geografia escolar SP, sobrenomes divergem (Dantas vs Kissi)"
orcid_removido_llm_lote2,2574,Henio Henrique Brandão da Silva,0009-0009-1176-7032,"middle names divergem (Henrique Brandão vs Carlos Coelho), homônimo"
orcid_removido_llm_lote2,2610,Bethania Ramos Ribeiro,0000-0001-5864-611X,"saúde no Acre (Oropouche), sobrenomes divergem"
orcid_removido_llm_lote2,2617,Mateus da Silva Costa,0000-0002-0088-4008,"zootecnista UNESP bem-estar animal, Silva vs Paranhos"
orcid_removido_llm_lote2,2624,Rubens Oliveira,0000-0003-2557-592X,"agrônomo irrigação UFV, homônimo de nome comum"
orcid_removido_llm_lote2,2653,Aline Machado Vieira,0000-0002-2479-6774,"fisiologia veterinária no Caribe, incompatível com FAU-UFRJ"
orcid_removido_llm_lote2,2665,Maria Maia Porto,0000-0002-9059-1953,"UERJ ensino de ciências/física, não é a Maria Porto FAU-UFRJ"
orcid_removido_llm_lote2,2693,Viviane Matos,0000-0003-1882-3243,"docente educação Tiradentes-SE, Vieira Santos diverge"
orcid_removido_llm_lote2,2698,Fabio Jose Martins de Lima,0000-0001-9071-2383,"corregedor/agronegócios UFGD, não é o urbanista da UFJF"
orcid_removido_llm_lote2,2703,Bruno Tropia Caldas,0009-0003-6582-6321,"Tropia vs Wallace Barros, pessoa diversa"
orcid_removido_llm_lote2,2705,Douglas Oliveira Santos,0000-0002-2760-2541,"advogado compliance, nome comuníssimo, área incompatível"
orcid_removido_llm_lote2,2754,Etianne Alves Souza de Oliveira,0000-0002-2782-9332,"nome diverge (Etianne vs Eliane), obra educação"
orcid_removido_llm_lote2,2762,Deise Coelho,0000-0002-2602-7362,"psicóloga hospitalar MG, incompatível com UNICAP"
orcid_removido_llm_lote2,2763,Elena Castro,0000-0002-3691-6454,"oncologista espanhola de próstata, incompatível"
orcid_removido_llm_lote2,2764,Julia Machado,0009-0004-6997-9728,"onomástica Unioeste-PR, incompatível com UNICAP-PE"
orcid_removido_llm_lote2,2765,Tiago Henrique,0000-0001-9100-539X,"biólogo FAMERP, incompatível"
orcid_removido_llm_lote2,2808,André Guilherme Dornelles Dangelo,0000-0002-7143-6202,"ecólogo global PhD Reading, não é o historiador EA-UFMG"
orcid_removido_llm_lote2,2814,Adelaide Zhayra Santos,0000-0002-2098-2887,"agente administrativa, Zhayra vs Junia divergem"
orcid_removido_llm_lote2,2815,Dayanne J. Azevedo Alves,0009-0009-5506-7724,"medicina nuclear, sobrenomes divergem"
orcid_removido_llm_lote2,2821,Marília Maria Brasileiro Teixeira Vale,0000-0002-1727-9445,"psicóloga escolar Fortaleza, não é a professora FAUeD-UFU"
